Date,Time (UTC),Active Power L1 (W)
6/2/2022,01:12:47:082,15.40049744
6/2/2022,01:12:47:132,15.1878109
6/2/2022,01:12:47:182,15.39925385
6/2/2022,01:12:47:232,15.39552212
6/2/2022,01:12:47:282,15.3756218
6/2/2022,01:12:47:332,15.03855705
6/2/2022,01:12:47:382,14.89801025
6/2/2022,01:12:47:432,14.9452734
6/2/2022,01:12:47:482,14.8594532
6/2/2022,01:12:47:532,15.16915417
6/2/2022,01:12:47:582,15.01990032
6/2/2022,01:12:47:632,15.02736282
6/2/2022,01:12:47:682,14.75621891
6/2/2022,01:12:47:732,14.89801025
6/2/2022,01:12:47:782,14.90547276
6/2/2022,01:12:47:832,15.12686539
6/2/2022,01:12:47:882,15.28855705
6/2/2022,01:12:47:932,15.1169157
6/2/2022,01:12:47:982,15.08333302
6/2/2022,01:12:48:032,15.01990032
6/2/2022,01:12:48:082,15.2574625
6/2/2022,01:12:48:132,15.19651699
6/2/2022,01:12:48:182,15.19776154
6/2/2022,01:12:48:233,15.48009968
6/2/2022,01:12:48:282,15.13805962
6/2/2022,01:12:48:332,15.0547266
6/2/2022,01:12:48:382,14.63432789
6/2/2022,01:12:48:432,14.71766186
6/2/2022,01:12:48:482,14.91169167
6/2/2022,01:12:48:532,15.06094551
6/2/2022,01:12:48:582,15.26741314
6/2/2022,01:12:48:632,15.34701538
6/2/2022,01:12:48:682,15.35074615
6/2/2022,01:12:48:732,15.11194038
6/2/2022,01:12:48:782,15.02860737
6/2/2022,01:12:48:832,14.91169167
6/2/2022,01:12:48:882,15.14303493
6/2/2022,01:12:48:932,15.32960224
6/2/2022,01:12:48:982,15.36318398
6/2/2022,01:12:49:032,15.3756218
6/2/2022,01:12:49:082,15.39925385
6/2/2022,01:12:49:132,14.97263718
6/2/2022,01:12:49:182,14.89925385
6/2/2022,01:12:49:232,14.7425375
6/2/2022,01:12:49:282,14.9452734
6/2/2022,01:12:49:332,14.88681602
6/2/2022,01:12:49:382,15.1791048
6/2/2022,01:12:49:432,15.28606987
6/2/2022,01:12:49:482,15.24004936
6/2/2022,01:12:49:532,15.11940289
6/2/2022,01:12:49:582,15.08955193
6/2/2022,01:12:49:632,15.27736282
6/2/2022,01:12:49:682,15.24378109
6/2/2022,01:12:49:732,15.10696507
6/2/2022,01:12:49:782,14.90671635
6/2/2022,01:12:49:832,15.32213974
6/2/2022,01:12:49:882,15.33706474
6/2/2022,01:12:49:932,15.26368141
6/2/2022,01:12:49:982,15.03482628
6/2/2022,01:13:49:982,14.90795994
6/2/2022,01:14:49:982,15.07213974
6/2/2022,01:15:49:982,14.99502468
6/2/2022,01:16:49:982,14.80970192
6/2/2022,01:17:49:982,15.15298462
6/2/2022,01:18:49:982,15.11194038
6/2/2022,01:19:49:982,15.1169157
6/2/2022,01:20:49:982,15.19651699
6/2/2022,01:21:49:982,15.11815929
6/2/2022,01:22:49:982,15.15049744
6/2/2022,01:23:49:982,14.83457756
6/2/2022,01:24:49:982,14.98258686
6/2/2022,01:25:49:982,14.84079647
6/2/2022,01:26:49:982,14.94651699
6/2/2022,01:27:49:982,14.98383045
6/2/2022,01:28:49:982,14.89676571
6/2/2022,01:29:49:982,14.89801025
6/2/2022,01:30:49:982,15.05597019
6/2/2022,01:31:49:982,14.98631859
6/2/2022,01:32:49:982,14.89303493
6/2/2022,01:33:49:983,15.13930321
6/2/2022,01:34:49:982,14.76616955
6/2/2022,01:35:49:982,15.21890545
6/2/2022,01:36:49:982,14.76990032
6/2/2022,01:37:49:982,15.12064648
6/2/2022,01:38:49:982,15.09701538
6/2/2022,01:39:49:982,14.84577084
6/2/2022,01:40:49:982,14.90795994
6/2/2022,01:41:49:982,15.01243782
6/2/2022,01:42:49:982,15.07338333
6/2/2022,01:43:49:982,15.17288589
